 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     101 0.107E-01 0.108E-01 0.454E-02 0.000E+00
     102 0.104E-01 0.688E-02 0.288E-02 0.000E+00
     103 0.105E-01 0.110E-01 0.488E-02 0.000E+00
     104 0.103E-01 0.727E-02 0.412E-02 0.000E+00
     105 0.919E-02 0.124E-01 0.430E-02 0.000E+00
     106 0.818E-02 0.873E-02 0.443E-02 0.000E+00
     107 0.581E-02 0.894E-02 0.481E-02 0.000E+00
     108 0.560E-02 0.723E-02 0.310E-02 0.000E+00
     109 0.639E-02 0.680E-02 0.173E-02 0.000E+00
     110 0.575E-02 0.466E-02 0.234E-02 0.000E+00
     111 0.821E-02 0.610E-02 0.288E-02 0.000E+00
     112 0.724E-02 0.397E-02 0.251E-02 0.000E+00
     113 0.880E-02 0.678E-02 0.203E-02 0.000E+00
     114 0.770E-02 0.438E-02 0.189E-02 0.000E+00
     115 0.835E-02 0.612E-02 0.145E-02 0.000E+00
     116 0.715E-02 0.395E-02 0.128E-02 0.000E+00
     117 0.740E-02 0.446E-02 0.179E-02 0.000E+00
     118 0.628E-02 0.289E-02 0.104E-02 0.000E+00
     119 0.577E-02 0.276E-02 0.111E-02 0.000E+00
     120 0.473E-02 0.180E-02 0.109E-02 0.000E+00
     121 0.428E-02 0.171E-02 0.987E-03 0.000E+00
     122 0.407E-02 0.155E-02 0.803E-03 0.000E+00
     123 0.250E-02 0.255E-02 0.125E-02 0.000E+00
     124 0.234E-02 0.178E-02 0.112E-02 0.000E+00
     125 0.254E-02 0.192E-02 0.137E-02 0.000E+00
     126 0.271E-02 0.142E-02 0.119E-02 0.000E+00
     127 0.317E-02 0.299E-02 0.119E-02 0.000E+00
     128 0.306E-02 0.197E-02 0.125E-02 0.000E+00
     129 0.368E-02 0.293E-02 0.150E-02 0.000E+00
     130 0.336E-02 0.188E-02 0.113E-02 0.000E+00
     131 0.347E-02 0.301E-02 0.243E-02 0.000E+00
     132 0.271E-02 0.196E-02 0.121E-02 0.000E+00
     133 0.261E-02 0.205E-02 0.187E-02 0.000E+00
     134 0.228E-02 0.154E-02 0.960E-03 0.000E+00
     135 0.201E-02 0.193E-02 0.147E-02 0.000E+00
     136 0.205E-02 0.134E-02 0.661E-03 0.000E+00
     137 0.156E-02 0.209E-02 0.100E-02 0.000E+00
     138 0.151E-02 0.171E-02 0.743E-03 0.000E+00
     139 0.105E-02 0.213E-02 0.567E-03 0.000E+00
     140 0.107E-02 0.145E-02 0.620E-03 0.000E+00
     141 0.108E-02 0.736E-03 0.402E-03 0.000E+00
     142 0.114E-02 0.678E-03 0.333E-03 0.000E+00
     143 0.129E-02 0.109E-02 0.423E-03 0.000E+00
