 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
       1 0.366E+02 0.870E+02 0.912E+00 0.000E+00
       2 0.293E+02 0.699E+02 0.213E+01 0.000E+00
       3 0.902E+01 0.224E+02 0.672E+01 0.000E+00
       4 0.703E+01 0.138E+02 0.873E+01 0.000E+00
       5 0.402E+01 0.749E+01 0.100E+02 0.000E+00
       6 0.378E+01 0.665E+01 0.668E+01 0.000E+00
       7 0.330E+01 0.589E+01 0.824E+01 0.000E+00
       8 0.293E+01 0.391E+01 0.508E+01 0.000E+00
       9 0.204E+01 0.310E+01 0.443E+01 0.000E+00
      10 0.168E+01 0.209E+01 0.308E+01 0.000E+00
      11 0.999E+00 0.177E+01 0.295E+01 0.000E+00
      12 0.948E+00 0.130E+01 0.220E+01 0.000E+00
      13 0.106E+01 0.115E+01 0.643E+00 0.000E+00
      14 0.922E+00 0.778E+00 0.607E+00 0.000E+00
      15 0.114E+01 0.138E+01 0.151E+01 0.000E+00
      16 0.111E+01 0.896E+00 0.788E+00 0.000E+00
      17 0.130E+01 0.103E+01 0.888E+00 0.000E+00
      18 0.119E+01 0.660E+00 0.124E+01 0.000E+00
      19 0.944E+00 0.178E+01 0.793E+00 0.000E+00
      20 0.760E+00 0.114E+01 0.851E+00 0.000E+00
      21 0.781E+00 0.202E+01 0.636E+00 0.000E+00
      22 0.831E+00 0.135E+01 0.367E+00 0.000E+00
      23 0.871E+00 0.211E+01 0.678E+00 0.000E+00
      24 0.684E+00 0.137E+01 0.425E+00 0.000E+00
      25 0.381E+00 0.114E+01 0.640E+00 0.000E+00
      26 0.407E+00 0.745E+00 0.457E+00 0.000E+00
      27 0.247E+00 0.132E+01 0.450E+00 0.000E+00
      28 0.231E+00 0.870E+00 0.350E+00 0.000E+00
      29 0.239E+00 0.499E+00 0.280E+00 0.000E+00
      30 0.198E+00 0.318E+00 0.179E+00 0.000E+00
      31 0.364E+00 0.531E+00 0.588E+00 0.000E+00
      32 0.450E+00 0.359E+00 0.356E+00 0.000E+00
      33 0.532E+00 0.416E+00 0.742E+00 0.000E+00
      34 0.452E+00 0.268E+00 0.446E+00 0.000E+00
      35 0.578E+00 0.508E+00 0.635E+00 0.000E+00
      36 0.558E+00 0.326E+00 0.314E+00 0.000E+00
      37 0.557E+00 0.395E+00 0.229E+00 0.000E+00
      38 0.480E+00 0.253E+00 0.514E+00 0.000E+00
      39 0.483E+00 0.381E+00 0.256E+00 0.000E+00
      40 0.371E+00 0.268E+00 0.477E+00 0.000E+00
      41 0.309E+00 0.260E+00 0.301E+00 0.000E+00
      42 0.257E+00 0.169E+00 0.403E+00 0.000E+00
      43 0.130E+00 0.254E+00 0.266E+00 0.000E+00
      44 0.104E+00 0.185E+00 0.253E+00 0.000E+00
      45 0.155E+00 0.162E+00 0.158E+00 0.000E+00
      46 0.149E+00 0.105E+00 0.846E-01 0.000E+00
      47 0.204E+00 0.197E+00 0.694E-01 0.000E+00
      48 0.194E+00 0.128E+00 0.116E+00 0.000E+00
      49 0.246E+00 0.262E+00 0.106E+00 0.000E+00
      50 0.219E+00 0.169E+00 0.994E-01 0.000E+00
      51 0.278E+00 0.230E+00 0.847E-01 0.000E+00
