 GRID IS READ
 METRIC IS CALCULATED
 INITIAL SOLUTION IS GENERATED
 HYDROSTATIC PRESSURE IS CALCULATED 
 CONVERGENCE HISTORY FILES ARE OPENED
     101 0.203E+00 0.172E+00 0.130E+00 0.000E+00
     102 0.196E+00 0.187E+00 0.111E+00 0.000E+00
     103 0.206E+00 0.165E+00 0.121E+00 0.000E+00
     104 0.190E+00 0.179E+00 0.103E+00 0.000E+00
     105 0.217E+00 0.158E+00 0.113E+00 0.000E+00
     106 0.186E+00 0.171E+00 0.957E-01 0.000E+00
     107 0.224E+00 0.151E+00 0.105E+00 0.000E+00
     108 0.181E+00 0.162E+00 0.941E-01 0.000E+00
     109 0.226E+00 0.144E+00 0.101E+00 0.000E+00
     110 0.175E+00 0.154E+00 0.926E-01 0.000E+00
     111 0.226E+00 0.135E+00 0.999E-01 0.000E+00
     112 0.174E+00 0.147E+00 0.907E-01 0.000E+00
     113 0.222E+00 0.127E+00 0.983E-01 0.000E+00
     114 0.171E+00 0.141E+00 0.883E-01 0.000E+00
     115 0.215E+00 0.120E+00 0.962E-01 0.000E+00
     116 0.165E+00 0.135E+00 0.854E-01 0.000E+00
     117 0.205E+00 0.115E+00 0.934E-01 0.000E+00
     118 0.160E+00 0.129E+00 0.820E-01 0.000E+00
     119 0.195E+00 0.108E+00 0.902E-01 0.000E+00
     120 0.163E+00 0.123E+00 0.782E-01 0.000E+00
     121 0.187E+00 0.103E+00 0.867E-01 0.000E+00
     122 0.166E+00 0.116E+00 0.748E-01 0.000E+00
     123 0.185E+00 0.993E-01 0.830E-01 0.000E+00
     124 0.167E+00 0.112E+00 0.714E-01 0.000E+00
     125 0.183E+00 0.966E-01 0.789E-01 0.000E+00
     126 0.167E+00 0.105E+00 0.677E-01 0.000E+00
     127 0.192E+00 0.945E-01 0.748E-01 0.000E+00
     128 0.165E+00 0.102E+00 0.639E-01 0.000E+00
     129 0.200E+00 0.925E-01 0.715E-01 0.000E+00
     130 0.166E+00 0.964E-01 0.601E-01 0.000E+00
     131 0.209E+00 0.908E-01 0.680E-01 0.000E+00
     132 0.176E+00 0.960E-01 0.564E-01 0.000E+00
     133 0.220E+00 0.885E-01 0.645E-01 0.000E+00
     134 0.184E+00 0.947E-01 0.539E-01 0.000E+00
     135 0.229E+00 0.873E-01 0.616E-01 0.000E+00
     136 0.192E+00 0.948E-01 0.532E-01 0.000E+00
     137 0.236E+00 0.859E-01 0.617E-01 0.000E+00
     138 0.202E+00 0.951E-01 0.526E-01 0.000E+00
     139 0.247E+00 0.859E-01 0.616E-01 0.000E+00
     140 0.214E+00 0.947E-01 0.522E-01 0.000E+00
     141 0.257E+00 0.854E-01 0.617E-01 0.000E+00
     142 0.225E+00 0.963E-01 0.529E-01 0.000E+00
     143 0.263E+00 0.859E-01 0.613E-01 0.000E+00
     144 0.234E+00 0.975E-01 0.526E-01 0.000E+00
     145 0.267E+00 0.868E-01 0.622E-01 0.000E+00
     146 0.241E+00 0.986E-01 0.534E-01 0.000E+00
     147 0.267E+00 0.873E-01 0.615E-01 0.000E+00
     148 0.242E+00 0.101E+00 0.532E-01 0.000E+00
     149 0.289E+00 0.888E-01 0.626E-01 0.000E+00
     150 0.261E+00 0.102E+00 0.540E-01 0.000E+00
     151 0.317E+00 0.901E-01 0.624E-01 0.000E+00
     152 0.285E+00 0.103E+00 0.541E-01 0.000E+00
     153 0.351E+00 0.908E-01 0.629E-01 0.000E+00
     154 0.314E+00 0.105E+00 0.542E-01 0.000E+00
